Country,Country_Code,Category,Indicator_Code,Year,Enrollment
Qatar,QAT,Total,SE.TER.ENRR,2021,31.2813974439236
Qatar,QAT,Female,SE.TER.ENRR.FE,2021,68.185647914109
Qatar,QAT,Male,SE.TER.ENRR.MA,2021,14.1411656846413
Saudi Arabia,SAU,Total,SE.TER.ENRR,2021,74.3924865722656
Saudi Arabia,SAU,Female,SE.TER.ENRR.FE,2021,76.6689300537109
Saudi Arabia,SAU,Male,SE.TER.ENRR.MA,2021,72.3995666503906
United Arab Emirates,ARE,Total,SE.TER.ENRR,2021,56.4520334436146
United Arab Emirates,ARE,Female,SE.TER.ENRR.FE,2021,62.5806789240484
United Arab Emirates,ARE,Male,SE.TER.ENRR.MA,2021,51.5802719932886
Bahrain,BHR,Total,SE.TER.ENRR,2022,50.3073760962771
Bahrain,BHR,Female,SE.TER.ENRR.FE,2022,73.6073653864038
Bahrain,BHR,Male,SE.TER.ENRR.MA,2022,34.77236440297
Kuwait,KWT,Total,SE.TER.ENRR,2022,
Kuwait,KWT,Female,SE.TER.ENRR.FE,2022,
Kuwait,KWT,Male,SE.TER.ENRR.MA,2022,
Oman,OMN,Total,SE.TER.ENRR,2022,
Oman,OMN,Female,SE.TER.ENRR.FE,2022,
Oman,OMN,Male,SE.TER.ENRR.MA,2022,
Qatar,QAT,Total,SE.TER.ENRR,2022,35.0854901088778
Qatar,QAT,Female,SE.TER.ENRR.FE,2022,77.3432021815349
Qatar,QAT,Male,SE.TER.ENRR.MA,2022,16.4718129404228
Saudi Arabia,SAU,Total,SE.TER.ENRR,2022,73.7492065429688
Saudi Arabia,SAU,Female,SE.TER.ENRR.FE,2022,78.4519577026367
Saudi Arabia,SAU,Male,SE.TER.ENRR.MA,2022,69.5368881225586
United Arab Emirates,ARE,Total,SE.TER.ENRR,2022,60.4188226013954
United Arab Emirates,ARE,Female,SE.TER.ENRR.FE,2022,68.0788419766495
United Arab Emirates,ARE,Male,SE.TER.ENRR.MA,2022,54.3340309301628
Bahrain,BHR,Total,SE.TER.ENRR,2023,57.0562240948353
Bahrain,BHR,Female,SE.TER.ENRR.FE,2023,84.3254442585066
Bahrain,BHR,Male,SE.TER.ENRR.MA,2023,39.099177890502
Kuwait,KWT,Total,SE.TER.ENRR,2023,
Kuwait,KWT,Female,SE.TER.ENRR.FE,2023,
Kuwait,KWT,Male,SE.TER.ENRR.MA,2023,
Oman,OMN,Total,SE.TER.ENRR,2023,
Oman,OMN,Female,SE.TER.ENRR.FE,2023,
Oman,OMN,Male,SE.TER.ENRR.MA,2023,
Qatar,QAT,Total,SE.TER.ENRR,2023,38.2058906555176
Qatar,QAT,Female,SE.TER.ENRR.FE,2023,72.1567687988281
Qatar,QAT,Male,SE.TER.ENRR.MA,2023,19.4421997070312
Saudi Arabia,SAU,Total,SE.TER.ENRR,2023,
Saudi Arabia,SAU,Female,SE.TER.ENRR.FE,2023,
Saudi Arabia,SAU,Male,SE.TER.ENRR.MA,2023,
United Arab Emirates,ARE,Total,SE.TER.ENRR,2023,61.3456114422447
United Arab Emirates,ARE,Female,SE.TER.ENRR.FE,2023,70.1777672820254
United Arab Emirates,ARE,Male,SE.TER.ENRR.MA,2023,54.3154380904539
Bahrain,BHR,Total,SE.TER.ENRR,2024,58.3677241853667
Bahrain,BHR,Female,SE.TER.ENRR.FE,2024,79.9392717715802
Bahrain,BHR,Male,SE.TER.ENRR.MA,2024,42.6704049612864
Kuwait,KWT,Total,SE.TER.ENRR,2024,
Kuwait,KWT,Female,SE.TER.ENRR.FE,2024,
Kuwait,KWT,Male,SE.TER.ENRR.MA,2024,
Oman,OMN,Total,SE.TER.ENRR,2024,42.226921081543
Oman,OMN,Female,SE.TER.ENRR.FE,2024,56.5868186950684
Oman,OMN,Male,SE.TER.ENRR.MA,2024,31.2995090484619
Qatar,QAT,Total,SE.TER.ENRR,2024,43.0178909301758
Qatar,QAT,Female,SE.TER.ENRR.FE,2024,69.3779830932617
Qatar,QAT,Male,SE.TER.ENRR.MA,2024,25.0901603698731
Saudi Arabia,SAU,Total,SE.TER.ENRR,2024,83.884129573915
Saudi Arabia,SAU,Female,SE.TER.ENRR.FE,2024,84.1536489533126
Saudi Arabia,SAU,Male,SE.TER.ENRR.MA,2024,83.6466004570458
United Arab Emirates,ARE,Total,SE.TER.ENRR,2024,63.7384451086316
United Arab Emirates,ARE,Female,SE.TER.ENRR.FE,2024,72.5657349329746
United Arab Emirates,ARE,Male,SE.TER.ENRR.MA,2024,56.7081298584812
