Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Bahrain,BHR,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,25.1201400756836,,19.0136394500732,17.5358505249023,,,,,46.3075025646345,47.6811679519633,44.1274788546413,44.7866602427761,45.6439860607554,46.7631772606016,48.7280981931009,50.2628341348842,52.9045782700327,54.4077922369055,47.5015525503536,50.3073760962771,57.0562240948353,58.3677241853667,
Bahrain,BHR,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,,,,40.0108413696289,,34.6471786499023,31.6284408569336,,,,,59.8875105130362,66.3114397564158,63.5043297161022,60.227422631454,60.9513041649138,63.0497231797764,65.1926737665277,67.32867632062,71.7243510506798,75.2914550382905,67.0769779680671,73.6073653864038,84.3254442585066,79.9392717715802,
Bahrain,BHR,"School enrollment, tertiary, male (% gross)",SE.TER.ENRR.MA,,,,15.6544799804688,,9.74230003356934,8.93719959259033,,,,,35.6997680100187,33.4489418703661,29.2627551556686,32.3862191711162,33.3086132005509,33.9510230914619,35.609756097561,36.9246403379428,38.396331295164,38.9140536530126,33.5770823089003,34.77236440297,39.099177890502,42.6704049612864,
Kuwait,KWT,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,18.3207397460938,19.2795295715332,19.5890598297119,19.9746398925781,,,,,,,,,,55.893130577116,58.9434554973822,59.2213394214596,54.9159622359267,52.1066893601774,50.4400595299189,53.731878917367,51.8967176944636,,,,
Kuwait,KWT,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,,27.368049621582,28.4298801422119,28.8520603179932,28.715950012207,,,,,,,,,,73.2873775520301,80.4249421600295,83.8888888888889,77.4231910735153,74.5099989061366,72.0643503604847,73.6753293712972,65.9408689214824,,,,
Kuwait,KWT,"School enrollment, tertiary, male (% gross)",SE.TER.ENRR.MA,,11.6747798919678,12.3950595855713,12.3767995834351,12.9033203125,,,,,,,,,,39.8199790720592,40.0131981995292,38.1274538282063,36.1341709670182,33.7462511409571,33.0268358964857,37.4090346863357,39.9190270620082,,,,
Oman,OMN,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,,,14.3313598632812,15.1500101089478,17.117769241333,19.2329597473144,20.4086494445801,20.4462108612061,21.9678993225098,27.8526854365953,31.5563508791784,,35.149615885003,41.1818561581842,45.1898945959512,46.8235059845958,43.5767818520195,44.9540216505645,45.1723183863131,48.3754397440909,43.8433613964625,,,42.226921081543,
Oman,OMN,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,,,,12.1856899261475,16.084379196167,18.1676807403564,20.3098106384277,21.8022804260254,,25.835880279541,30.4687438975809,34.8990686240297,,42.6161270121929,52.0412424359763,57.8076444388781,62.3419173582992,57.0111419257529,57.4878074857514,56.3356093694527,58.2401474222055,52.9462515450918,,,56.5868186950684,
Oman,OMN,"School enrollment, tertiary, male (% gross)",SE.TER.ENRR.MA,,,,16.3789291381836,14.2583503723144,16.1530094146729,18.2453193664551,19.1495704650879,,19.1318397521973,25.6528821396669,28.7540226895946,,28.9420815366523,31.9869367602908,34.6656568690179,34.5448060178727,32.8895081798008,34.4241000483659,35.6991718397489,39.4078992454066,35.9147958409503,,,31.2995090484619,
Qatar,QAT,"School enrollment, tertiary (% gross)",SE.TER.ENRR,,18.6874694824219,17.2873592376709,15.7512302398682,16.8915996551514,14.7242298126221,12.8355398178101,11.8196697235107,11.3421602249146,10.1654901504517,9.64273278083432,12.6008552690979,12.2866942772156,14.8707295209095,17.3063613126932,15.9339905308662,14.8163562584538,16.7774362605473,17.4458250857575,21.0931416049405,23.7649212314763,31.2813974439236,35.0854901088778,38.2058906555176,43.0178909301758,
